date,time,temperature,humidity
09/01/21,07:00:23,48.9,86.7
09/01/21,08:00:21,51.3,84.9
09/01/21,09:00:18,55.6,82.1
09/01/21,10:00:26,60.3,72.8
09/01/21,11:00:39,64.6,60.7
09/01/21,12:00:16,67.8,50.8
09/01/21,13:00:21,70.9,42.3
09/01/21,14:00:42,73.4,41.1
09/01/21,15:00:29,76.3,35.5
09/01/21,16:00:16,77.7,32.4
09/01/21,17:00:26,77.2,29.5
09/01/21,18:00:24,77.0,29.1
09/01/21,19:00:16,74.8,32.1
09/01/21,20:00:19,72.0,38.3
09/01/21,21:00:21,69.3,47.7
09/01/21,22:00:18,67.3,53.2
09/01/21,23:00:16,65.7,52.8
09/02/21,00:00:31,61.7,69.7
09/02/21,01:00:15,58.8,79.0
09/02/21,02:00:23,57.0,82.4
09/02/21,03:00:16,55.0,86.8
09/02/21,04:00:17,54.1,85.8
09/02/21,05:00:19,52.7,89.8
09/02/21,06:00:20,52.0,89.4
09/02/21,07:00:16,50.4,91.5
09/02/21,08:00:27,52.9,87.8
09/02/21,09:00:24,57.0,81.6
09/02/21,10:00:21,64.8,65.7
09/02/21,11:00:21,73.4,42.1
09/02/21,12:00:17,76.6,36.6
09/02/21,13:00:24,80.8,30.8
09/02/21,14:00:21,83.5,28.0
09/02/21,15:00:29,84.7,26.5
09/02/21,16:00:21,84.9,25.7
09/02/21,17:00:16,84.4,24.8
09/02/21,18:00:24,82.8,25.6
09/02/21,19:00:16,81.0,28.1
09/02/21,20:00:16,77.0,31.6
09/02/21,21:00:20,74.1,36.5
09/02/21,22:00:23,71.2,44.4
09/02/21,23:00:16,69.8,46.1
09/03/21,00:00:41,68.0,46.4
09/03/21,01:00:21,63.7,59.1
09/03/21,02:00:33,61.0,70.2
09/03/21,03:00:26,59.0,76.2
09/03/21,04:00:17,56.8,81.5
09/03/21,05:00:24,54.9,86.5
09/03/21,06:00:16,54.1,84.8
09/03/21,07:00:16,52.5,86.6
09/03/21,08:00:16,54.1,84.1
09/03/21,09:00:24,59.0,76.5
09/03/21,10:00:21,65.5,65.8
09/03/21,11:00:19,75.9,39.4
09/03/21,12:00:19,78.3,37.3
09/03/21,13:00:19,77.5,38.7
09/03/21,14:00:18,79.7,37.0
09/03/21,15:00:24,82.8,33.1
09/03/21,16:00:19,82.0,32.6
09/03/21,17:00:29,82.0,31.5
09/03/21,18:00:29,82.4,29.1
09/03/21,19:00:16,80.4,29.3
09/03/21,20:00:18,76.1,38.9
09/03/21,21:00:18,73.2,40.4
09/03/21,22:00:25,70.2,41.6
09/03/21,23:00:24,67.5,45.3
09/04/21,00:00:26,65.1,48.1
09/04/21,01:00:21,63.3,52.2
09/04/21,02:00:24,61.7,59.7
09/04/21,03:00:23,59.2,71.0
09/04/21,04:00:19,57.7,78.8
09/04/21,05:00:30,56.5,82.6
09/04/21,06:00:18,55.9,82.8
09/04/21,07:00:17,55.0,85.2
09/04/21,08:00:16,57.0,80.2
09/04/21,09:00:24,60.4,70.8
09/04/21,10:00:19,66.6,60.4
09/04/21,11:00:16,79.0,37.3
09/04/21,12:00:29,78.1,35.7
09/04/21,13:00:21,82.2,29.9
09/04/21,14:00:16,84.9,26.8
09/04/21,15:00:18,87.3,27.8
09/04/21,16:00:16,88.5,29.0
09/04/21,17:00:24,88.9,31.3
09/04/21,18:00:16,86.0,35.0
09/04/21,19:00:26,82.4,38.9
09/04/21,20:00:18,78.6,45.5
09/04/21,21:00:21,76.1,49.7
09/04/21,22:00:24,73.2,57.2
09/04/21,23:00:24,70.3,75.6
09/05/21,00:00:35,68.4,83.1
09/05/21,01:00:31,66.4,87.5
09/05/21,02:00:26,64.9,90.3
09/05/21,03:00:15,63.1,91.6
09/05/21,04:00:32,63.0,92.3
09/05/21,05:00:22,61.5,93.8
09/05/21,06:00:26,60.3,91.3
09/05/21,07:00:29,61.2,90.6
09/05/21,08:00:16,63.7,88.0
09/05/21,09:00:17,66.7,88.2
09/05/21,10:00:34,71.8,77.2
09/05/21,11:00:21,81.5,55.6
09/05/21,12:00:16,79.9,58.8
09/05/21,13:00:21,83.5,52.1
09/05/21,14:00:19,86.0,48.5
09/05/21,15:00:16,87.1,46.9
09/05/21,16:00:24,86.9,46.7
09/05/21,17:00:16,86.4,45.9
09/05/21,18:00:19,82.4,49.0
09/05/21,19:00:16,78.6,54.4
09/05/21,20:00:15,74.5,60.9
09/05/21,21:00:23,72.1,67.1
09/05/21,22:00:18,69.6,72.6
09/05/21,23:00:20,67.8,73.4
09/06/21,00:00:31,65.8,78.7
09/06/21,01:00:18,64.2,80.9
09/06/21,02:00:23,62.4,84.4
09/06/21,03:00:31,62.4,83.1
09/06/21,04:00:19,61.2,84.0
09/06/21,05:00:22,61.3,82.1
09/06/21,06:00:21,60.8,85.2
09/06/21,07:00:34,60.6,83.5
09/06/21,08:00:21,61.7,81.0
09/06/21,09:00:34,63.3,77.6
09/06/21,10:00:19,67.5,69.9
09/06/21,11:00:16,70.3,61.8
09/06/21,12:00:21,73.9,53.6
09/06/21,13:00:24,76.5,43.2
09/06/21,14:00:19,79.3,37.1
09/06/21,15:00:16,81.7,30.5
09/06/21,16:00:23,83.5,28.0
09/06/21,17:00:19,84.4,27.9
09/06/21,18:00:21,83.5,29.4
09/06/21,19:00:21,81.9,32.0
09/06/21,20:00:16,78.3,35.0
09/06/21,21:00:18,75.0,38.1
09/06/21,22:00:19,72.5,41.9
09/06/21,23:00:16,69.1,48.7
09/07/21,00:00:42,68.5,53.0
09/07/21,01:00:15,66.6,59.9
09/07/21,02:00:29,63.1,72.2
09/07/21,03:00:21,62.1,74.9
09/07/21,04:00:17,59.4,82.4
09/07/21,05:00:19,57.9,82.4
09/07/21,06:00:18,56.8,85.0
09/07/21,07:00:19,55.6,87.9
09/07/21,08:00:16,56.7,86.8
09/07/21,09:00:16,60.4,81.7
09/07/21,10:00:18,68.5,68.1
09/07/21,11:00:27,73.0,59.7
09/07/21,12:00:23,77.4,50.9
09/07/21,13:00:19,81.1,42.5
09/07/21,14:00:24,84.6,39.3
09/07/21,15:00:16,86.9,35.4
09/07/21,16:00:19,88.7,36.3
09/07/21,17:00:23,87.6,36.4
09/07/21,18:00:19,86.9,36.8
09/07/21,19:00:16,83.5,41.9
09/07/21,20:00:21,80.6,43.2
09/07/21,21:00:21,79.2,40.8
09/07/21,22:00:16,77.2,38.4
09/07/21,23:00:26,76.5,33.4
09/08/21,00:00:29,74.7,35.6
09/08/21,01:00:16,72.7,41.7
09/08/21,02:00:18,70.0,50.6
09/08/21,03:00:18,68.0,53.6
09/08/21,04:00:22,66.2,59.7
09/08/21,05:00:25,64.2,74.2
09/08/21,06:00:16,62.6,80.7
09/08/21,07:00:21,61.5,84.1
09/08/21,08:00:17,61.5,84.7
09/08/21,09:00:17,64.4,79.2
09/08/21,10:00:21,70.3,67.2
09/08/21,11:00:19,79.2,46.9
09/08/21,12:00:19,80.2,41.0
09/08/21,13:00:17,83.1,37.0
09/08/21,14:00:29,85.8,32.9
09/08/21,15:00:24,88.3,32.5
09/08/21,16:00:17,89.2,32.0
09/08/21,17:00:17,87.4,32.7
09/08/21,18:00:19,86.5,34.5
09/08/21,19:00:17,83.8,37.1
09/08/21,20:00:27,80.2,44.2
09/08/21,21:00:24,77.7,49.7
09/08/21,22:00:16,75.4,54.3
09/08/21,23:00:21,72.3,63.9
09/09/21,00:00:29,70.2,71.7
09/09/21,01:00:19,68.0,77.4
09/09/21,02:00:16,66.4,80.4
09/09/21,03:00:23,65.1,83.4
09/09/21,05:00:19,61.9,89.0
09/09/21,06:00:22,61.2,90.7
09/09/21,07:00:32,60.4,91.8
09/09/21,08:00:34,62.2,90.3
09/09/21,09:00:24,66.0,86.2
09/09/21,10:00:17,72.5,75.1
09/09/21,11:00:20,78.1,64.5
09/09/21,12:00:17,78.6,63.4
09/09/21,13:00:24,82.9,54.2
09/09/21,14:00:17,83.7,51.3
09/09/21,15:00:20,86.9,44.5
09/09/21,16:00:17,85.1,46.2
09/09/21,17:00:19,82.4,48.5
09/09/21,18:00:25,81.1,49.9
09/09/21,19:00:22,76.8,60.2
09/09/21,20:00:19,73.4,67.7
09/09/21,21:00:16,70.9,76.0
09/09/21,22:00:21,67.8,82.4
09/09/21,23:00:16,66.6,84.7
09/10/21,00:00:35,64.8,89.5
09/10/21,01:00:31,64.0,90.3
09/10/21,02:00:21,63.1,91.0
09/10/21,03:00:19,62.2,91.4
09/10/21,04:00:22,61.5,92.3
09/10/21,05:00:25,61.5,92.5
09/10/21,06:00:16,62.4,91.7
09/10/21,07:00:27,61.9,91.8
09/10/21,08:00:17,63.3,90.2
09/10/21,09:00:17,62.8,93.8
09/10/21,10:00:17,61.5,97.1
09/10/21,11:00:29,65.5,91.4
09/10/21,12:00:25,65.8,88.6
09/10/21,13:00:17,66.7,85.2
09/10/21,14:00:20,68.2,80.2
09/10/21,15:00:24,71.2,73.5
09/10/21,16:00:27,72.1,61.6
09/10/21,17:00:17,73.2,58.1
09/10/21,18:00:32,71.2,65.4
09/10/21,19:00:17,67.5,72.4
09/10/21,20:00:27,65.1,76.8
09/10/21,21:00:22,62.8,82.0
09/10/21,22:00:32,61.3,84.2
09/10/21,23:00:22,59.7,87.4
09/11/21,00:00:35,57.4,91.6
09/11/21,01:00:27,56.5,92.2
09/11/21,02:00:16,55.9,92.0
09/11/21,03:00:17,54.1,94.3
